"id","title","author","genre","year","avg_rating","rating_count","popularity"
"304","Cat's Cradle","Kurt Vonnegut Jr.","Fiction","1963","4.18","238940","238940"
"305","The Time Machine","H.G. Wells","Science Fiction","1895","3.87","276076","276076"
"306","Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo","Fiction","2010","4.01","228371","228371"
"307","The Boy in the Striped Pajamas","John Boyne","Fiction","2006","4.1","285692","285692"
"308","Heart of Darkness","Joseph Conrad","Fiction","1899","3.42","255576","255576"
"309","Safe Haven","Nicholas Sparks","Romance","2010","4.19","255531","255531"
"310","The Secret (The Secret, #1)","Rhonda Byrne","Fiction","2006","3.62","241537","241537"
"311","I Know This Much Is True","Wally Lamb","Fiction","1998","4.17","246917","246917"
"312","Pet Sematary","Stephen King","Fiction","1983","3.91","256383","256383"
"313","She's Come Undone","Wally Lamb","Fiction","1992","3.84","259576","259576"
"314","The Wise Man's Fear (The Kingkiller Chronicle, #2)","Patrick Rothfuss","Fantasy","2011","4.57","245686","245686"
"315","Can You Keep a Secret?","Sophie Kinsella","Fiction","2003","3.83","278747","278747"
"316","City of Fallen Angels (The Mortal Instruments, #4)","Cassandra Clare","Fiction","2011","4.16","341826","341826"
"317","Good in Bed (Cannie Shapiro, #1)","Jennifer Weiner","Fiction","2001","3.7","248804","248804"
"318","The Thorn Birds","Colleen McCullough","Fiction","1977","4.22","255651","255651"
"319","The Graveyard Book","Neil Gaiman","Fiction","2008","4.12","302303","302303"
"320","The Light Between Oceans","M.L. Stedman","Fiction","2012","4","243526","243526"
"321","Inkheart (Inkworld, #1)","Cornelia Funke","History","2003","3.86","285011","285011"
"322","Who Moved My Cheese?","Spencer Johnson","Fiction","1998","3.74","237272","237272"
"323","A Walk in the Woods","Bill Bryson","Fiction","1997","4.05","250192","250192"
"324","I Know Why the Caged Bird Sings","Maya Angelou","Fiction","1969","4.19","270859","270859"
"325","Orphan Train","Christina Baker Kline","Fiction","2013","4.14","226091","226091"
"326","City of Lost Souls (The Mortal Instruments, #5)","Cassandra Clare","Fiction","2012","4.3","300553","300553"
"327","Where'd You Go, Bernadette","Maria Semple","Fiction","2012","3.9","215453","215453"
"328","Where the Red Fern Grows","Wilson Rawls","Fiction","1961","4.04","268548","268548"
"329","Neverwhere","Neil Gaiman","Fiction","1996","4.18","268318","268318"
"330","The Unbearable Lightness of Being","Milan Kundera","Fiction","1984","4.08","205279","205279"
"331","Fangirl","Rainbow Rowell","Fiction","2013","4.12","340379","340379"
"332","A Prayer for Owen Meany","John Irving","Fiction","1989","4.22","226964","226964"
"333","White Oleander","Janet Fitch","Fiction","1999","3.93","245674","245674"
"334","Legend (Legend, #1)","Marie Lu","Fiction","2011","4.19","299998","299998"
"335","Nineteen Minutes","Jodi Picoult","Fiction","2007","4.1","235978","235978"
"336","The Last Lecture","Randy Pausch","Fiction","2008","4.25","241869","241869"
"337","The Eye of the World (Wheel of Time, #1)","Robert Jordan","History","1990","4.18","260184","260184"
"338","The Pact","Jodi Picoult","Fiction","1998","4","221225","221225"
"339","The Magician's Nephew (Chronicles of Narnia, #6)","C.S. Lewis","Fiction","1953","4.01","268355","268355"
"340","Still Alice","Lisa Genova","Fiction","2007","4.3","223432","223432"
"341","Reflected in You (Crossfire, #2)","Sylvia Day","Fiction","2012","4.33","252564","252564"
"342","James and the Giant Peach","Roald Dahl","Fiction","1961","3.99","270402","270402"
"343","1st to Die (Women's Murder Club, #1)","James Patterson","Thriller","2001","4.05","233984","233984"
"344","The Ultimate Hitchhiker's Guide to the Galaxy","Douglas Adams","Science Fiction","1996","4.37","222842","222842"
"345","One Day","David Nicholls","Fiction","2009","3.77","222926","222926"
"346","Goodnight Moon","Margaret Wise Brown","Fiction","1947","4.27","244842","244842"
"347","I Am Number Four (Lorien Legacies, #1)","Pittacus Lore","Fiction","2010","3.94","253437","253437"
"348","The Iliad","Homer","Fiction","2000","3.83","241088","241088"
"349","The Casual Vacancy","J.K. Rowling","Fantasy","2012","3.28","231835","231835"
"350","The Runaway Jury","John Grisham","Fiction","1996","3.96","222712","222712"
"351","Naked","David Sedaris","Fiction","1997","4.08","201337","201337"
"352","Eldest (The Inheritance Cycle, #2)","Christopher Paolini","Fiction","2005","3.96","250000","250000"
"353","The Wonderful Wizard of Oz (Oz, #1)","L. Frank Baum","Fantasy","1900","3.98","247521","247521"
"354","Prince Caspian (Chronicles of Narnia, #2)","C.S. Lewis","Fiction","1951","3.96","250221","250221"
"355","We Were Liars","E. Lockhart","Fiction","2014","3.85","273442","273442"
"356","'Salem's Lot","Stephen King","Fiction","1975","3.99","228680","228680"
"357","Fear and Loathing in Las Vegas","Hunter S. Thompson","Fiction","1971","4.08","232489","232489"
"358","Clockwork Prince (The Infernal Devices, #2)","Cassandra Clare","Self Help","2011","4.46","307994","307994"
"359","Yes Please","Amy Poehler","Fiction","2014","3.81","251082","251082"
"360","Othello","William Shakespeare","Fiction","1603","3.88","238875","238875"
"361","Beloved","Toni Morrison","Romance","1987","3.77","233825","233825"
"362","Graceling (Graceling Realm, #1)","Kristin Cashore","Fiction","2008","4.1","281185","281185"
"363","The Bad Beginning (A Series of Unfortunate Events, #1)","Lemony Snicket","Fiction","1999","3.89","275670","275670"
"364","All Quiet on the Western Front","Erich Maria Remarque","Fiction","1929","3.92","249113","249113"
"365","Oh, The Places You'll Go!","Dr. Seuss","Fiction","1990","4.34","257260","257260"
"366","And the Mountains Echoed","Khaled Hosseini","Fiction","2012","4.03","199326","199326"
"367","Do Androids Dream of Electric Sheep?","Philip K. Dick","Fiction","1968","4.08","223828","223828"
"368","Oliver Twist","Charles Dickens","Fiction","1838","3.85","230181","230181"
"369","The Screwtape Letters","C.S. Lewis","Fiction","1942","4.21","116277","116277"
"370","Anna and the French Kiss (Anna and the French Kiss, #1)","Stephanie Perkins","Fiction","2010","4.08","259479","259479"
"371","How the Grinch Stole Christmas!","Dr. Seuss","Fiction","1957","4.36","250602","250602"
"372","V for Vendetta","Alan Moore","Fiction","1990","4.25","210682","210682"
"373","John Adams","David McCullough","Fiction","2001","4.05","215780","215780"
"374","Odd Thomas (Odd Thomas, #1)","Dean Koontz","Fiction","2003","3.94","205986","205986"
"375","The Subtle Knife (His Dark Materials, #2)","Philip Pullman","Fiction","1997","4.1","242503","242503"
"376","Stargirl (Stargirl, #1)","Jerry Spinelli","Fiction","2000","3.74","237560","237560"
"377","The Red Pyramid (Kane Chronicles, #1)","Rick Riordan","Fiction","2010","4.06","232791","232791"
"378","Stranger in a Strange Land","Robert A. Heinlein","Fiction","1961","3.91","220301","220301"
"379","Dress Your Family in Corduroy and Denim","David Sedaris","Fiction","2004","4.08","191923","191923"
"380","The BFG","Roald Dahl","Fiction","1982","4.22","245855","245855"
"381","A Short History of Nearly Everything","Bill Bryson","History","2003","4.19","191535","191535"
"382","The Call of the Wild","Jack London","Fiction","1903","3.83","223932","223932"
"383","The Death Cure (Maze Runner, #3)","James Dashner","Fiction","2011","3.77","223674","223674"
"384","Stardust","Neil Gaiman","Fiction","1999","4.07","237602","237602"
"385","The Namesake","Jhumpa Lahiri","Fiction","2003","3.96","184211","184211"
"386","A Discovery of Witches (All Souls Trilogy, #1)","Deborah Harkness","Fiction","2011","3.99","226622","226622"
"387","Norwegian Wood","Haruki Murakami","Fiction","1987","4.02","183988","183988"
"388","Where the Heart Is","Billie Letts","Fiction","1995","4","208333","208333"
"389","Will Grayson, Will Grayson","John Green","Fiction","2010","3.84","236431","236431"
"390","A Million Little Pieces","James Frey","Fiction","2003","3.62","184241","184241"
"391","Frostbite (Vampire Academy, #2)","Richelle Mead","Fiction","2008","4.3","256745","256745"
"392","Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain","History","2012","4.04","202135","202135"
"393","Island of the Blue Dolphins (Island of the Blue Dolphins, #1)","Scott O'Dell","Fiction","1960","3.8","236015","236015"
"394","The Crucible","Arthur Miller","Fiction","1953","3.55","242980","242980"
"395","Hatchet (Brian's Saga, #1)","Gary Paulsen","Fiction","1986","3.68","222553","222553"
"396","The Final Empire (Mistborn, #1)","Brandon Sanderson","Fantasy","2006","4.43","208944","208944"
"397","The Strange Case of Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson","Fiction","1886","3.79","223535","223535"
"398","The Lorax","Dr. Seuss","Fiction","1971","4.35","226564","226564"
"399","Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)","Jeff Kinney","Biography","2004","3.96","254852","254852"
"400","Throne of Glass (Throne of Glass, #1)","Sarah J. Maas","Fantasy","2012","4.24","274987","274987"
"401","Shadow Kiss (Vampire Academy, #3)","Richelle Mead","Fiction","2008","4.37","266742","266742"
"402","For Whom the Bell Tolls","Ernest Hemingway","Fiction","1940","3.95","195063","195063"
"403","Hotel on the Corner of Bitter and Sweet","Jamie Ford","Fiction","2009","3.98","197294","197294"
"404","Perfume: The Story of a Murderer","Patrick S?skind","Thriller","1985","4","178135","178135"
"405","Fast Food Nation: The Dark Side of the All-American Meal","Eric Schlosser","Fiction","2001","3.73","179347","179347"
"406","The Tales of Beedle the Bard","J.K. Rowling","Fantasy","2007","4.06","284833","284833"
"407","Neuromancer","William Gibson","Romance","1984","3.88","183878","183878"
"408","A Farewell to Arms","Ernest Hemingway","Fiction","1929","3.79","186613","186613"
"409","The Tell-Tale Heart and Other Writings","Edgar Allan Poe","Fiction","1843","4.15","195689","195689"
"410","The Art of War","Sun Tzu","History","2000","3.95","167332","167332"
"411","Defending Jacob","William Landay","Fiction","2012","3.97","182025","182025"
"412","Breakfast of Champions","Kurt Vonnegut Jr.","Fiction","1973","4.08","178154","178154"
"413","The New Drawing on the Right Side of the Brain","Betty Edwards","History","1979","3.84","218264","218264"
"414","Bel Canto","Ann Patchett","Fiction","2001","3.92","192330","192330"
"415","Guns, Germs, and Steel: The Fates of Human Societies","Jared Diamond","Fiction","1997","4","171558","171558"
"416","Fried Green Tomatoes at the Whistle Stop Cafe","Fannie Flagg","Fiction","1987","4.26","207508","207508"
"417","Things Fall Apart (The African Trilogy, #1)","Chinua Achebe","Fiction","1958","3.61","199346","199346"
"418","The Undomestic Goddess","Sophie Kinsella","Fiction","2005","3.82","200509","200509"
"419","The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","Gary Chapman","Romance","1990","4.23","165675","165675"
"420","The Three Musketeers","Alexandre Dumas","Fiction","1844","4.06","195274","195274"
"421","Little Bee","Chris Cleave","Fiction","2008","3.7","116784","116784"
"422","Evermore (The Immortals, #1)","Alyson Noel","Fiction","2009","3.59","230031","230031"
"423","The Witches","Roald Dahl","Fiction","1983","4.17","221431","221431"
"424","The Thirteenth Tale","Diane Setterfield","Fiction","2006","3.95","213200","213200"
"425","Spirit Bound (Vampire Academy, #5)","Richelle Mead","Fiction","2010","4.37","224247","224247"
"426","Blood Promise (Vampire Academy, #4)","Richelle Mead","Fiction","2009","4.35","231853","231853"
"427","Message in a Bottle","Nicholas Sparks","Romance","1998","3.95","185116","185116"
"428","The Paris Wife","Paula McLain","Fiction","2011","3.79","191850","191850"
"429","Harry Potter Boxset (Harry Potter, #1-7)","J.K. Rowling","Fantasy","1998","4.74","190050","190050"
"430","The Elite (The Selection, #2)","Kiera Cass","Fiction","2013","4.02","234247","234247"
"431","The Name of the Rose","Umberto Eco","Fiction","1980","4.11","200217","200217"
"432","Go Ask Alice","Beatrice Sparks","Fiction","1971","3.77","196677","196677"
"433","A Confederacy of Dunces","John Kennedy Toole","Fiction","1980","3.89","170776","170776"
"434","The Importance of Being Earnest","Oscar Wilde","Fiction","1895","4.17","210630","210630"
"435","The Mark of Athena (The Heroes of Olympus, #3)","Rick Riordan","Fiction","2012","4.47","277491","277491"
"436","The Color of Magic (Discworld, #1; Rincewind #1)","Terry Pratchett","Fantasy","1983","3.97","190590","190590"
"437","Kafka on the Shore","Haruki Murakami","Fiction","2002","4.13","167593","167593"
"438","Red Dragon (Hannibal Lecter, #1)","Thomas Harris","Fantasy","1981","4.01","194013","194013"
"439","I, Robot (Robot #0.1)","Isaac Asimov","Science Fiction","1950","4.17","198368","198368"
"440","Dark Lover (Black Dagger Brotherhood, #1)","J.R. Ward","Romance","2005","4.21","227021","227021"
"441","Crescendo (Hush, Hush, #2)","Becca Fitzpatrick","Fiction","2010","4.07","226237","226237"
"442","Before I Fall","Lauren Oliver","Fiction","2010","3.92","220160","220160"
"443","The God of Small Things","Arundhati Roy","Fiction","1997","3.91","165378","165378"
"444","The Invention of Wings","Sue Monk Kidd","Fiction","2014","4.23","168006","168006"
"445","What Alice Forgot","Liane Moriarty","Fiction","2009","4.05","165704","165704"
"446","A Brief History of Time","Stephen Hawking","History","1987","4.12","165628","165628"
"447","Fall of Giants (The Century Trilogy, #1)","Ken Follett","Fiction","2010","4.26","168911","168911"
"448","Under the Dome","Stephen King","Fiction","2009","3.89","183292","183292"
"449","Snow Crash","Neal Stephenson","Fiction","1992","4.02","175883","175883"
"450","Just Listen","Sarah Dessen","Fiction","2006","4.06","202180","202180"
"451","Winnie-the-Pooh (Winnie-the-Pooh, #1)","A.A. Milne","Fiction","1926","4.34","207550","207550"
"452","Before I Go to Sleep","S.J. Watson","Fiction","2011","3.87","180896","180896"
"453","A Study in Scarlet","Arthur Conan Doyle","Fiction","1887","4.15","201499","201499"
"454","Brisingr (The Inheritance Cycle, #3)","Christopher Paolini","Fiction","2008","4.03","211645","211645"
"455","The Purpose Driven Life: What on Earth Am I Here for?","Rick Warren","History","2002","3.9","170491","170491"
"456","Betrayed (House of Night, #2)","P.C. Cast","Fiction","2007","3.93","205340","205340"
"457","Storm Front (The Dresden Files, #1)","Jim Butcher","Fiction","2000","4.02","203053","203053"
"458","Northanger Abbey","Jane Austen","Romance","1817","3.8","205167","205167"
"459","The 5th Wave (The 5th Wave, #1)","Rick Yancey","Fiction","2013","4.1","260048","260048"
"460","Cold Mountain","Charles Frazier","Fiction","1997","3.83","185979","185979"
"461","If You Give a Mouse a Cookie","Laura Joffe Numeroff","Fiction","1985","4.24","198083","198083"
"462","Something Blue (Darcy & Rachel, #2)","Emily Giffin","Fiction","2005","3.92","172417","172417"
"463","A Streetcar Named Desire","Tennessee Williams","Fiction","1947","3.97","194493","194493"
"464","The Historian","Elizabeth Kostova","Fiction","2005","3.77","190473","190473"
"465","Station Eleven","Emily St. John Mandel","Fiction","2014","4.02","160466","160466"
"466","A Man Called Ove","Fredrik Backman","Fiction","2012","4.35","183777","183777"
"467","Clockwork Princess (The Infernal Devices, #3)","Cassandra Clare","Self Help","2013","4.59","162099","162099"
"468","The Good Earth (House of Earth, #1)","Pearl S. Buck","Fiction","1931","3.97","182220","182220"
"469","Ways of Seeing","John Berger","Fiction","1972","3.75","155658","155658"
"470","Dragonfly in Amber (Outlander, #2)","Diana Gabaldon","Fantasy","1992","4.31","178110","178110"
"471","Holy Bible: King James Version","Anonymous","Fiction","1611","4.43","159457","159457"
"472","In Her Shoes","Jennifer Weiner","Fiction","2002","3.78","167400","167400"
"473","The Hobbit: Graphic Novel","Chuck Dixon","Fantasy","1989","4.48","155338","155338"
"474","The Brief Wondrous Life of Oscar Wao","Junot D?az","Fiction","2007","3.89","160330","160330"
"475","Their Eyes Were Watching God","Zora Neale Hurston","Fiction","1937","3.87","181106","181106"
"476","Fantastic Beasts and Where to Find Them","Newt Scamander","Fiction","2001","3.95","185928","185928"
"477","I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban","Malala Yousafzai","Fiction","2012","4.06","214412","214412"
"478","Mansfield Park","Jane Austen","Romance","1814","3.84","205064","205064"
"479","Man's Search for Meaning","Viktor E. Frankl","Fiction","1946","4.33","171281","171281"
"480","In the Woods (Dublin Murder Squad, #1)","Tana French","Thriller","2007","3.74","188024","188024"
"481","The God Delusion","Richard Dawkins","Fiction","2006","3.89","162740","162740"
"482","Where She Went (If I Stay, #2)","Gayle Forman","Fiction","2011","4.06","193141","193141"
"483","The World According to Garp","John Irving","History","1978","4.07","167106","167106"
"484","Killing Floor (Jack Reacher, #1)","Lee Child","Fiction","1997","4.04","162972","162972"
"485","Robinson Crusoe","Daniel Defoe","Fiction","1719","3.66","178188","178188"
"486","The Prince","Niccol? Machiavelli","Fiction","1513","3.78","153128","153128"
"487","The Amber Spyglass (His Dark Materials, #3)","Philip Pullman","Fiction","2000","4.06","192315","192315"
"488","Wizard's First Rule (Sword of Truth, #1)","Terry Goodkind","Fantasy","1994","4.13","175771","175771"
"489","The Kitchen House","Kathleen Grissom","Fiction","2010","4.18","168082","168082"
"490","Franny and Zooey","J.D. Salinger","Fiction","1961","3.98","152906","152906"
"491","Choke","Chuck Palahniuk","Fiction","2001","3.69","154643","154643"
"492","The Brothers Karamazov","Fyodor Dostoyevsky","Fiction","1880","4.3","155838","155838"
"493","The City of Ember (Book of Ember, #1)","Jeanne DuPrau","Fiction","2003","3.85","198809","198809"
"494","The Andromeda Strain","Michael Crichton","Fiction","1969","3.87","173186","173186"
"495","The Green Mile","Stephen King","Fiction","1996","4.42","173950","173950"
"496","The Prophet","Kahlil Gibran","Fiction","1923","4.22","142641","142641"
"497","Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)","Art Spiegelman","History","1985","4.35","184007","184007"
"498","Untamed (House of Night, #4)","P.C. Cast","Fiction","2008","3.95","191743","191743"
"499","Speaker for the Dead (Ender's Saga, #2)","Orson Scott Card","Science Fiction","1986","4.04","164287","164287"
"500","Mere Christianity","C.S. Lewis","Fiction","1952","4.31","184759","184759"
"501","The Secret History","Donna Tartt","History","1992","4.07","168405","168405"
"502","A Heartbreaking Work of Staggering Genius","Dave Eggers","Fantasy","2000","3.68","145459","145459"
"503","The Clan of the Cave Bear (Earth's Children, #1)","Jean M. Auel","Fiction","1980","4.02","176062","176062"
"504","Black Beauty","Anna Sewell","Fiction","1877","3.94","183255","183255"
"505","War and Peace","Leo Tolstoy","History","1869","4.11","168037","168037"
"506","American Psycho","Bret Easton Ellis","Fiction","1991","3.81","166083","166083"
"507","The Princess Diaries (The Princess Diaries, #1)","Meg Cabot","Fiction","2000","3.76","193140","193140"
"508","The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)","Alexander McCall Smith","Thriller","1998","3.75","180320","180320"
"509","The Walking Dead, Vol. 01: Days Gone Bye","Robert Kirkman","Fiction","2004","4.3","164530","164530"
"510","2001: A Space Odyssey (Space Odyssey, #1)","Arthur C. Clarke","Science Fiction","1968","4.12","170841","170841"
"511","Redeeming Love","Francine Rivers","Romance","1991","4.48","157506","157506"
"512","Left Behind (Left Behind, #1)","Tim LaHaye","Fiction","1995","3.81","161173","161173"
"513","The One (The Selection, #3)","Kiera Cass","Fiction","2014","4.21","139544","139544"
"514","The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)","Suzanne Collins","Science Fiction","2010","4.49","129665","129665"
"515","Nickel and Dimed: On (Not) Getting By in America","Barbara Ehrenreich","Fiction","2001","3.6","152786","152786"
"516","Remember Me?","Sophie Kinsella","Fiction","2008","3.76","170096","170096"
"517","The Great Hunt (Wheel of Time, #2)","Robert Jordan","Fiction","1990","4.2","162595","162595"
"518","Postmortem (Kay Scarpetta, #1)","Patricia Cornwell","Fiction","1990","4.01","167379","167379"
"519","The Complete Stories and Poems","Edgar Allan Poe","Fiction","1849","4.37","160063","160063"
"520","The Hiding Place: The Triumphant True Story of Corrie Ten Boom","Corrie ten Boom","Fiction","1971","4.42","171384","171384"
"521","The Adventures of Sherlock Holmes","Arthur Conan Doyle","Fiction","1892","4.29","139816","139816"
"522","The Prince of Tides","Pat Conroy","Fiction","1986","4.22","159596","159596"
"523","The Amazing Adventures of Kavalier & Clay","Michael Chabon","Fiction","2000","4.17","147717","147717"
"524","Perfect Chemistry (Perfect Chemistry, #1)","Simone Elkeles","Fiction","2008","4.07","198627","198627"
"525","Peter Pan","J.M. Barrie","Fiction","1904","4.1","169306","169306"
"526","Pretties (Uglies, #2)","Scott Westerfeld","Fiction","2005","3.85","193405","193405"
"527","The Wind-Up Bird Chronicle","Haruki Murakami","Fantasy","1994","4.17","133408","133408"
"528","The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)","Michael Connelly","Fiction","2005","4.14","149438","149438"
"529","Cloud Atlas","David Mitchell","Fiction","2004","4.01","152441","152441"
"530","The Things They Carried","Tim O'Brien","Fiction","1990","4.12","168678","168678"
"531","Wall and Piece","Banksy","Fiction","1988","3.83","149453","149453"
"532","Pandemonium (Delirium, #2)","Lauren Oliver","Fiction","2012","4.07","181656","181656"
"533","Darkly Dreaming Dexter (Dexter, #1)","Jeff Lindsay","Fiction","2004","3.89","150055","150055"
"534","Living Dead in Dallas (Sookie Stackhouse, #2)","Charlaine Harris","Fiction","2002","3.97","190565","190565"
"535","The Dragon Reborn (Wheel of Time, #3)","Robert Jordan","Fantasy","1991","4.23","153809","153809"
"536","Gulliver's Travels","Jonathan Swift","Fiction","1726","3.55","168727","168727"
"537","Much Ado About Nothing","William Shakespeare","Fiction","1598","4.06","175616","175616"
"538","Beowulf","Unknown","Fiction","975","3.42","155903","155903"
"539","Batman: Year One","Frank Miller","Fiction","1987","4.23","145267","145267"
"540","Go Set a Watchman","Harper Lee","Fiction","2015","3.31","138669","138669"
"541","When You Are Engulfed in Flames","David Sedaris","Fiction","2008","4.04","150898","150898"
"542","Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)","Laini Taylor","Fiction","2011","4.04","198283","198283"
"543","Red Queen (Red Queen, #1)","Victoria Aveyard","Fiction","2015","4.08","83354","83354"
"544","The Power of Habit: Why We Do What We Do in Life and Business","Charles Duhigg","Self Help","2011","4.03","155977","155977"
"545","Midnight in the Garden of Good and Evil","John Berendt","Fiction","1994","3.9","167997","167997"
"546","Hopeless (Hopeless, #1)","Colleen Hoover","Fiction","2012","4.34","189938","189938"
"547","A Little Princess","Frances Hodgson Burnett","Fiction","1905","4.2","199872","199872"
"548","The Truth About Forever","Sarah Dessen","Fiction","2004","4.13","179415","179415"
"549","The Horse and His Boy (Chronicles of Narnia, #5)","C.S. Lewis","Fiction","1954","3.9","189671","189671"
"550","Last Sacrifice (Vampire Academy, #6)","Richelle Mead","Fiction","2010","4.42","206792","206792"
"551","Little House on the Prairie (Little House, #2)","Laura Ingalls Wilder","Fiction","1935","4.18","195424","195424"
"552","The Velveteen Rabbit","Margery Williams Bianco","Fiction","1922","4.29","173469","173469"
"553","Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values","Robert M. Pirsig","Fiction","1974","3.76","139411","139411"
"554","The War of the Worlds","H.G. Wells","History","1897","3.8","159752","159752"
"555","Pretty Little Liars (Pretty Little Liars, #1)","Sara Shepard","Fiction","2006","3.9","156328","156328"
"556","Corduroy","Don Freeman","Fiction","1948","4.28","160860","160860"
"557","The Omnivore's Dilemma: A Natural History of Four Meals","Michael Pollan","History","2006","4.17","133271","133271"
"558","Life After Life","Kate Atkinson","Fiction","2013","3.74","138454","138454"
"559","The Rescue","Nicholas Sparks","Romance","2000","4.1","142092","142092"
"560","Needful Things","Stephen King","Fiction","1991","3.87","153821","153821"
"561","Voyager (Outlander, #3)","Diana Gabaldon","Fiction","1993","4.38","157395","157395"
"562","Hamlet: Screenplay, Introduction And Film Diary","Kenneth Branagh","Biography","1996","4.12","156869","156869"
"563","Cujo","Stephen King","Fiction","1981","3.65","158215","158215"
"564","The Virgin Suicides","Jeffrey Eugenides","Fiction","1993","3.83","159249","159249"
"565","Dead to the World (Sookie Stackhouse, #4)","Charlaine Harris","History","2004","4.13","199572","199572"
"566","Tess of the D'Urbervilles","Thomas Hardy","Fiction","1891","3.77","171599","171599"
"567","Madame Bovary","Gustave Flaubert","Fiction","1856","3.64","158877","158877"
"568","The Phantom Tollbooth","Norton Juster","Fiction","1961","4.22","178432","178432"
"569","The Way of Kings (The Stormlight Archive, #1)","Brandon Sanderson","Fantasy","2010","4.64","144822","144822"
"570","Club Dead (Sookie Stackhouse, #3)","Charlaine Harris","Fiction","2003","4.03","181323","181323"
"571","It's Kind of a Funny Story","Ned Vizzini","Fiction","2006","4.14","161001","161001"
"572","The Well of Ascension (Mistborn, #2)","Brandon Sanderson","Fantasy","2007","4.35","150736","150736"
"573","After You (Me Before You, #2)","Jojo Moyes","Fiction","2015","3.7","99342","99342"
"574","The Language of Flowers","Vanessa Diffenbaugh","Fiction","2011","4.07","140076","140076"
"575","Batman: The Dark Knight Returns (The Dark Knight Saga, #1)","Frank Miller","Fiction","1986","4.25","135979","135979"
"576","The Angel Experiment (Maximum Ride, #1)","James Patterson","Fiction","2005","4.08","172302","172302"
"577","High Fidelity","Nick Hornby","Fiction","1995","3.94","134849","134849"
"578","The Guardian","Nicholas Sparks","Romance","2003","4.14","136427","136427"
"579","Oryx and Crake (MaddAddam, #1)","Margaret Atwood","Fiction","2003","4","151500","151500"
"580","Men Are from Mars, Women Are from Venus","John Gray","Fiction","1998","3.52","113915","113915"
"581","Kitchen Confidential: Adventures in the Culinary Underbelly","Anthony Bourdain","Fiction","2000","4","134177","134177"
"582","Timeline","Michael Crichton","Fiction","1999","3.83","148563","148563"
"583","Candide","Voltaire","Fiction","1759","3.76","151471","151471"
"584","Tuck Everlasting","Natalie Babbitt","Fiction","1975","3.85","174280","174280"
"585","Christine","Stephen King","Fiction","1983","3.72","151160","151160"
"586","Are You My Mother?","P.D. Eastman","Fiction","1960","4.16","174204","174204"
"587","The Story of Art","E.H. Gombrich","Fiction","1950","3.83","164708","164708"
"588","Scarlet (The Lunar Chronicles, #2)","Marissa Meyer","Fiction","2013","4.3","193766","193766"
"589","Rich Dad, Poor Dad","Robert T. Kiyosaki","Business","1997","3.95","153764","153764"
"590","Silence (Hush, Hush, #3)","Becca Fitzpatrick","Fiction","2011","4.16","190722","190722"
"591","The Magicians (The Magicians #1)","Lev Grossman","Fiction","2009","3.47","147908","147908"
"592","Death Note, Vol. 1: Boredom (Death Note, #1)","Tsugumi Ohba","Fiction","2004","4.42","139501","139501"
"593","A Great and Terrible Beauty (Gemma Doyle, #1)","Libba Bray","Fiction","2003","3.79","173613","173613"
"594","Everything Is Illuminated","Jonathan Safran Foer","Fiction","2002","3.9","131492","131492"
"595","The Bourne Supremacy (Jason Bourne, #2)","Robert Ludlum","Fiction","1986","4.09","142168","142168"
"596","Easy (Contours of the Heart, #1)","Tammara Webber","Fiction","2012","4.11","133937","133937"
"597","David Copperfield","Charles Dickens","Fiction","1849","3.96","150512","150512"
"598","The Absolutely True Diary of a Part-Time Indian","Sherman Alexie","Biography","2007","4.11","160607","160607"
"599","The Master and Margarita","Mikhail Bulgakov","Fiction","1967","4.32","131389","131389"
"600","A Wizard of Earthsea (Earthsea Cycle, #1)","Ursula K. Le Guin","Fantasy","1968","3.99","155042","155042"
"601","Because of Winn-Dixie","Kate DiCamillo","Fiction","2000","4","154476","154476"
"602","A Separate Peace","John Knowles","Fiction","1959","3.56","155901","155901"
"603","The Rainmaker","John Grisham","Fiction","1995","3.91","137412","137412"
"604","Don Quixote","Miguel de Cervantes Saavedra","Fiction","1605","3.85","134931","134931"
"605","Assassin's Apprentice (Farseer Trilogy, #1)","Robin Hobb","Fiction","1995","4.14","132777","132777"
"606","The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)","Douglas Adams","Fiction","1980","4.22","153838","153838"
"607","Torment (Fallen, #2)","Lauren Kate","Fiction","2010","3.89","174393","174393"
"608","The Tale of Peter Rabbit","Beatrix Potter","Fiction","1901","4.17","162373","162373"
"609","The Silver Chair (Chronicles of Narnia, #4)","C.S. Lewis","Fiction","1953","3.95","170453","170453"
"610","The Hero of Ages (Mistborn, #3)","Brandon Sanderson","Fantasy","2008","4.46","143622","143622"
"611","Girl, Interrupted","Susanna Kaysen","Fiction","1993","3.9","145161","145161"
